date_inicial,date_final,IrrDia_1,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3
1991-05-26,1991-05-28,9.923077092406896,0.2299135452902126,0.2001700608656287,0.1606626171894497,0.220000001469507,0.2207949373445154,0.2200728420766081,13.4,16.1,12.33,24.12,24.8,29.28,0.0,0.0,0.01,2.030090181394809,1.8815594638054225,3.680731707032693
1991-05-29,1991-05-31,7.88880487773597,0.2298967206893534,0.2088781528818507,0.1888554872428837,0.2200066985867773,0.2207942060903858,0.2200727753337917,12.77,9.18,8.37,27.12,16.4,20.0,2.09,0.22,0.0,2.777631388859633,1.2327539786864563,1.911912840604042
1991-06-01,1991-06-03,3.98310412466446,0.2213994815686255,0.2351226529886601,0.1949814124216793,0.2200066924512863,0.2201168549360756,0.2211947585809658,9.21,11.23,6.64,19.25,21.3,19.41,1.23,3.36,0.78,1.7806406291729853,1.6913818710714097,3.0520134542182458
1991-06-04,1991-06-06,5.747214799640059,0.2255046710000862,0.1949268609211086,0.1724901177143881,0.2201092616695492,0.2204592002031799,0.2200421476744947,5.23,4.12,-0.17,17.26,17.43,10.2,0.06,0.0,0.0,2.5044444925448834,2.3241591527849845,2.039703927883682
1991-06-07,1991-06-09,6.993674320672051,0.2158846969875866,0.1895822589006083,0.1586617524998216,0.2200038765045305,0.2200003566063006,0.220000032805395,-1.88,-0.08,2.3,12.24,13.48,16.51,0.0,0.0,0.0,2.4129239939565523,2.3911307351798508,2.810955127344247
1991-06-10,1991-06-12,9.222050640078669,0.2222807133500808,0.1891854463524912,0.1642456122986594,0.2200000030178819,0.2201887743617166,0.2200173498297797,3.94,5.62,5.62,18.02,18.1,16.56,0.0,0.0,0.05,2.6001405045934094,2.820181911851393,2.3225486714495025
1991-06-13,1991-06-15,5.934803538594437,0.229042069674983,0.2281173965813941,0.2218166228542213,0.2200015959344709,0.2207278831450032,0.220716751170599,8.17,9.83,11.76,16.86,19.39,17.93,2.2,2.41,1.43,1.5046889099655207,1.525198530566605,1.2000116651252553
1991-06-19,1991-06-21,1.9887061807444024,0.202613698517774,0.1894531416311221,0.162269010499368,0.2202831441324543,0.2200260110115567,0.2200023925361757,5.53,2.8,1.87,18.15,11.23,15.4,0.0,0.36,0.0,2.825140001763341,1.523686989695634,2.481962339951661
1991-06-22,1991-06-24,8.500158573946809,0.2208264874976482,0.1894013501779895,0.1574844293250792,0.2200002200951184,0.2200688297303233,0.2200063297351802,1.65,1.48,3.06,13.21,16.66,17.76,0.0,0.0,0.0,2.4040098855625454,2.788579188395022,2.9040352016125808
1991-06-25,1991-06-27,9.441692085291024,0.2276019484229775,0.1941966882861147,0.1655078204522575,0.2200005822761459,0.2206156183994291,0.220056460779715,4.58,4.87,4.34,16.58,15.57,17.25,0.0,0.01,0.0,2.212848789750049,2.423917800651311,2.767729885540541
