date_inicial,date_final,IrrDia_1,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3
2000-03-30,2000-04-01,6.38,0.2189261426042972,0.1743747879738721,0.1478944834241831,0.22,0.22,0.22,14.5,14.4,17.8,35.7,37.4,38.0,0.0,0.0,0.0,5.9,6.0,6.3
2000-04-02,2000-04-04,14.14,0.2157208513579688,0.167155930109791,0.1384653257055667,0.22,0.22,0.22,19.6,19.2,20.1,36.0,37.2,38.2,0.0,0.0,0.0,6.7,7.0,7.5
2000-04-05,2000-04-07,16.400000000000006,0.2256211884416412,0.1729402465314757,0.1457997526889111,0.22,0.2204589493067325,0.2200421246982671,20.1,19.1,20.9,38.8,39.2,39.0,0.0,0.0,0.0,7.0,7.2,7.1
2000-04-08,2000-04-10,15.23,0.2233559399165364,0.1765907900842657,0.1474126575534172,0.2200038743917464,0.2202769063488376,0.2200254387624353,20.2,21.4,19.4,38.2,40.0,40.2,0.0,0.0,0.0,6.8,6.1,6.9
2000-04-11,2000-04-13,14.84999999999999,0.2200310457562872,0.1728256034141887,0.1435998294325711,0.2200023399063575,0.2200028081461972,0.2200002583275472,20.3,22.6,23.2,40.4,40.2,40.0,0.0,0.0,0.0,6.9,6.4,6.8
2000-04-14,2000-04-16,15.12,0.2178449151177846,0.1667149371072467,0.1376419403504507,0.2200000237644185,0.220000002186171,0.2200000002011135,20.3,22.9,23.1,40.0,40.3,39.0,0.0,0.0,0.0,7.0,7.2,7.0
2000-04-17,2000-04-19,15.940000000000008,0.2158892675982253,0.1677658599498416,0.1352202386851362,0.2200000000185011,0.2200000000017019,0.2200000000001565,21.0,19.0,20.0,40.2,38.4,37.2,0.0,0.0,0.0,7.4,6.9,7.6
2000-04-20,2000-04-22,16.840000000000003,0.2475202386851362,0.1595158357866569,0.1243891273056464,0.2200000000000143,0.2220368102417296,0.2201854884967961,17.9,20.0,21.6,36.0,38.2,39.4,0.0,0.0,0.0,5.1,6.7,6.8
2000-04-23,2000-04-25,17.040000000000003,0.2144891273056464,0.1568909193211332,0.1179925778126987,0.220017048110022,0.2200015681829339,0.2200001442614813,24.6,20.0,20.3,40.2,38.4,40.4,0.0,0.0,0.0,7.3,6.7,7.5
2000-04-26,2000-04-28,18.44999999999999,0.2166925778126986,0.1485908877288982,0.1044432627973153,0.2200000132711056,0.220000001220855,0.2200000001123107,20.7,20.2,19.7,39.2,41.6,42.1,0.0,0.0,0.0,7.8,7.9,8.2
2000-04-29,2000-05-01,20.58,0.2233432627973153,0.1482643548507701,0.1030776370607706,0.2200000000103317,0.22027553020913,0.2200253125117557,20.8,20.1,20.4,41.8,41.8,41.7,0.0,0.0,0.0,7.9,7.5,7.1
2000-05-02,2000-05-04,19.5,0.2166776370607706,0.1425526886808013,0.0873773730583793,0.2200023282950276,0.2200002141854895,0.2127180362686802,21.6,25.6,22.9,41.2,42.1,40.8,0.0,0.0,0.0,7.4,6.9,8.2
2000-05-05,2000-05-07,23.01000000000001,0.2316773730583794,0.3197593709078075,0.2688965935515032,0.2127180362686802,0.4001406290921924,0.2209130905702097,22.3,16.0,19.6,39.1,40.1,29.8,0.0,86.3,8.6,7.8,9.1,3.7
2000-05-11,2000-05-13,18.929999999999986,0.2134478755732118,0.1481798513472106,0.0950927530256438,0.2200025055107456,0.2163226449386927,0.2088485197287861,22.5,22.2,20.8,37.0,37.2,37.2,0.0,0.3,0.0,6.2,6.7,6.6
2000-05-14,2000-05-16,20.87000000000001,0.2345287755464086,0.1527329546205101,0.0966071551602259,0.2000124972080214,0.2037083181339199,0.1904550066666748,20.9,22.4,23.4,37.3,37.3,37.7,0.0,0.0,0.7,7.1,7.1,7.1
2000-05-17,2000-05-19,20.0,0.2598849451172752,0.1550823714687581,0.0928913851637693,0.1778772167096255,0.1990797903581426,0.1798707766631314,21.9,21.8,22.2,36.4,36.4,35.4,3.1,0.0,0.0,7.3,7.6,7.4
2000-05-20,2000-05-22,24.86,0.2757299512366077,0.1590482545991884,0.0974873091734793,0.1686322105902931,0.2121035318491146,0.2021644772748237,21.8,24.2,24.3,35.8,35.8,36.4,0.0,0.0,0.0,7.0,6.6,6.5
2000-05-23,2000-05-25,21.18,0.2597873091734793,0.1595745383634587,0.2515070892042484,0.2021644772748237,0.2156417313009141,0.1985123829010244,24.1,23.2,20.3,33.7,36.8,36.2,0.0,0.0,15.8,4.5,6.3,7.5
2000-05-26,2000-05-28,4.990000000000091,0.2331621371628656,0.159351233333965,0.0980014456179108,0.2134517110687756,0.2195712396304738,0.2050210273465281,20.2,20.9,21.8,35.2,33.8,36.1,2.4,0.0,0.0,6.4,5.7,6.9
2000-05-29,2000-05-31,21.28999999999999,0.2468966703073944,0.1582524587153131,0.0971394823578057,0.1909258026570444,0.2014700142491257,0.1844829906066331,23.2,23.7,22.3,36.2,36.6,35.8,0.0,0.0,0.0,7.1,7.1,7.1
2000-06-01,2000-06-03,18.250000000000004,0.2724527223389497,0.1619268568087892,0.1716887637096879,0.1840697506254892,0.2178435508036891,0.2107816439027904,19.7,22.1,19.8,34.8,33.6,35.7,5.4,0.0,7.2,5.6,5.9,6.3
2000-06-04,2000-06-06,12.68,0.2368152517235874,0.2087178002340186,0.375929319799884,0.2064551558888909,0.2201688686189351,0.2737433016772359,20.9,22.8,19.3,33.4,31.7,28.6,0.0,2.8,29.0,6.0,3.7,3.1
2000-06-10,2000-06-12,11.381371717986587,0.2129163399776688,0.152730725945366,0.3651736901471721,0.2194868672158454,0.2194868672158454,0.2254918107469045,21.2,21.4,19.7,32.0,32.6,30.3,0.0,0.0,27.1,5.6,5.5,4.1
2000-06-16,2000-06-18,22.285002823593707,0.2570984801213246,0.1647037723259064,0.2048513908565777,0.19282272984937,0.2227293805897168,0.2202477000206127,20.4,21.0,20.8,33.2,32.7,32.6,0.3,0.3,8.8,5.9,5.4,4.4
2000-06-19,2000-06-21,0.1952381469328621,0.2308596723542711,0.3763455282647314,0.2242849080500066,0.2200227589278784,0.280580487599594,0.2226834611520454,19.6,17.7,20.3,29.9,27.8,27.8,6.1,29.1,3.1,3.4,3.1,2.7
2000-06-22,2000-06-24,2.048595532166951,0.2060259269550962,0.2970436198464024,0.1788875326967114,0.2203858359651548,0.2200354267953802,0.2242305031277474,21.8,19.7,21.4,30.4,31.8,31.8,0.2,14.3,0.0,3.4,4.4,4.2
2000-06-25,2000-06-27,8.463458124769588,0.2025790776363236,0.1408346549159614,0.0916315892868835,0.2186369380300109,0.212350819640864,0.212350819640864,20.5,21.6,21.2,33.3,34.1,33.2,0.0,0.0,0.2,5.8,6.3,4.9
2000-06-28,2000-06-30,17.286546537333752,0.2195610403022392,0.2757583905482156,0.3854532118374545,0.2107670466073502,0.2107670466073502,0.41,19.7,18.9,20.0,32.8,26.4,24.8,1.6,8.7,80.0,5.8,2.8,2.3
